index,player,tweet,score
19,Jordan Love,But if Jordan love turns out to be 💩 then we wasted a 1st round pick in Aaron’s last years 🤡 ,-1
20,Garrett Wilson,Garrett wilson ,-1
21,K'Lavon Chaisson,K’Lavon Chaisson can’t wait to sack former LSU teammate Joe Burrow: ‘I’ll take that fine’  ,-1
22,Josh Allen, So you would rather take the DT the niners deepest position. Because Josh Allen is not a 3 down player right away either,-1
23,Najee Harris,"New  podcast with  and  is LIVE as the guys discuss the fantasy landscape following last week's NFL Draft ⚡️

🏈Does workload alone give Najee Harris the edge as the top overall rookie for this season?

🔗  ",-1
24,Patrick Surtain II," Les falto en esa lista a los Broncos, están para el perro, el único decente es Patrick Surtain II, los demás pues no me convencen, el que tacklea troncos ojala que sepa tacklea o bloquear defensivos, puras fallas.",-1
25,Devin Lloyd,Devin Lloyd i actually might bet it. Or KT ,-1
26,Ahmad Gardner,AHMAD GARDNER SAUCE 2022 Sage Hit Low  ,-1
27,Chris Lindstrom,"

Best Pick: Chris Lindstrom 

“Worst” Pick: Qadree Ollison 

Sleeper pick: Kendall Sheffield 

Wish we could've gotten: Brian Burns or Emanuel Hall 

Can't believe we passed on: Brian Burns 

UDFA to watch: Olamide Zaccheaus

Draft Grade: C+",-1
28,Alijah Vera-Tucker,Our  explains why the  made the correct decision trading up for Alijah Vera-Tucker.  ,-1
29,Jamin Davis,"🗣️ Jamin Davis has entered the building.

",-1
30,Jamin Davis,"@216fanin412   Chase Young has hurt, William Jackson and Jamin Davis wasn’t a part of the team, Matt Ioannidis didn’t play either",-1
31,Kaleb McGary, Jags fan and UW Husky fan here. You got good one in Kaleb McGary. At 6-7 he's a big mountain...,-1
32,Nick Bosa,Nick Bosa's Great-Grandfather Was A Ruthless Mobster And The Stories Of His Revenge Killings Are Insane ,-1
33,Jordan Davis,"Eagles first round draft pick Jordan Davis, Nakobe Dean, and Haason Reddick crushing the 🔔 

 ",-1
34,Devin Bush Jr.,"Devin Bush Jr. drafted to the Pittsburgh Steelers with 10th pick in 2019 NFL Draft

 ",-1
35,Kayvon Thibodeaux,It’s been a week since the NFL Draft and I still can’t believe Evan Neal and Kayvon Thibodeaux are New York Giants!!!!! Two cornerstone players to build around.  ,-1
36,Clyde Edwards-Helaire,"NFL rookie running back props: Don't fall for the Clyde Edwards-Helaire hype. 

(via ) ",-1
37,Trevor Lawrence,I wonder what it’s like to be married to Trevor Lawrence and not be the prettiest one in the relationship,-1
38,Garrett Bradbury," sign eight draft picks on the eve of rookie minicamp. All but Garrett Bradbury, Armon Watts, Kris Boyd and Austin Cutting. This story will be updated later tonight. ",-1
39,Kyle Pitts,"Kyle Pitts was drafted 3rd in R1 of the 
2-man, 12-team  Rookie Mock Draft w/  &amp; .

Josh could see Pitts going as TE6 &amp; sees Pro Bowl potential in him. Where will you be taking Pitts in  drafts this year? ",-1
40,Jonah Williams, So true. Must capitalize on those who have forgotten about Mixon's early production. They did draft Jonah Williams as well and his run-blocking grade was legit. Should only improve the ground game.,-1
41,Marquise Brown,Marquise Brown: Not active in rookie minicamp  - ,-1
42,L.J. Collier,"Was zum Lesen am Feiertag: Ein ausführlicher &amp; spannender Thread über die Qualitäten von unserem 1st-Rounder L.J. Collier. Fazit: Richtig eingesetzt ist er eine Waffe.
___
   ",-1
43,Travon Walker,@1010xlfattony  Travon walker will be all pro player by his 3rd year. Lloyd will be defensive rookie of the year,-1
44,Jermaine Johnson,"@_WestoniaN_  I like the Goedeke idea. Not a fan of Ingram. Perhaps it was “window dressing” but they had T. Smith well over Jermaine Johnson on their board. Time will tell, but interesting thought exercise.",-1
45,Clelin Ferrell,"Sure we love Clelin Ferrell now... In the moment though...
",-1
46,Dexter Lawrence,"Dexter Lawrence describes why he's the ""pink power ranger"" among his former Clemson teammates &amp; I fully understand why he says ""the fans will love me"" ",-1
47,Chris Olave,"Allen on Thomas: ""There's still a few hurdles that we've got to climb, with any of our guys that had any injuries they're trying to get back from. ... We drafted Chris Olave in the 1st round ... getting Mike back, it's almost like we had 2 first round draft choices""",-1
48,Payton Turner,s payton turner starting or tanoah 🤔,-1
49,Andre Dillard,"You could have:

Khalil Mack ($23.5M a year)
DK Metcalf with your second rounder
Andre Dillard with your first by giving up a fourth to trade up 3 spots
Signed Earl Thomas ($14M a year)
And still traded for Antonio Brown

For the same $ they gave Joyner, trent Brown &amp; Ty Williams ",-1
50,Caleb Farley,"Every team, GM, and even fan &amp; media member have their thresholds when it comes to taking risks. There’s no right or wrong answer. People criticized me for being all in on Caleb Farley as a late 1st rd pick. The Titans agreed with me. But others aren’t wrong for disagreeing.",-1
51,Justin Jefferson,Ceedee lamb then Justin Jefferson ,-1
52,Daxton Hill, Love daxton hill 👌 ,-1
53,L.J. Collier,Seahawks first-rounder L.J. Collier embraces comparisons to Michael Bennett  ,-1
54,Devin Bush Jr.,Devin Bush Jr is going to be a very good LB for the Pittsburgh Steelers in the NFL in the future. Stud out there anyways.,-1
55,Javon Kinlaw,"     Underestimating what Russell Wilson can do in Seattle. 49ers brought back most of their defense minus DeForrest Buckner, who they replaced with Javon Kinlaw. Kyler Murray was average as a rookie, even in he won OROY. I don't think Jimmy G is special either but he's got a defense",-1
56,Kaiir Elam,#6. Kaiir Elam. ,-1
57,Jaylen Waddle,  Jaylen Waddle no questio,-1
58,Kyler Murray,Is Kyler Murray already the Week 1 starter? | Pro Football Talk | NBC Sports ,-1
59,Javon Kinlaw,"San Francisco 49ers: Nick Bosa is Wasting No Time Getting Familiar with Trent Williams, Javon Kinlaw and 2020 ",-1
60,Jaelan Phillips,"With the 18th pick the Miami Dolphins select Jaelan Phillips, defensive end Miami

",-1
61,CeeDee Lamb,CeeDee Lamb Silver Prizm $2.50  ,-1
62,Ikem Ekwonu,Ikem Ekwonu's pads at training camp should be carried by Cam Erving. That is it. That is the message.,-1
63,Kyler Murray,"With the 1st pick in the 2019  4 rookie draft I’m taking Kyler Murray, QB ",-1
64,Noah Igbinoghene,A shame Noah Igbinoghene is gonna be a bust. ,-1
65,Jameson Williams,channeling my inner Dan Campbell by trading up to the 1.05 to draft Jameson Williams 😤😤😤,-1
66,CeeDee Lamb,"  I thought of him losing his brother when the news first came out but, at the time I made that post I was thinking about what a great  draft the Cowboys had adding CeeDee Lamb and it got me excited what this offense can do.",-1
67,Brian Burns, just picked up this Brian Burns Auto on Ebay.  He could be the next Peppers no? ,-1
68,Caleb Farley,"With the 22nd pick in the NFL Draft Thursday night, the Tennessee Titans selected cornerback Caleb Farley of Virginia Tech to fill a need in their secondary. ",-1
69,Johnathan Abram,S Johnathan Abram: “I’m going to be a part of a great group”  ,-1
70,Noah Fant,"Got Noah Fant, Drew Lock, Terry McLaurin and Jarrett Stidham in the rookie draft ",-1
71,Kyler Murray,"Para o bem do Cardinals, Kyler Murray deve ser o titular na semana 1  érias",-1
72,Lewis Cine,  Wonder why they passed on Lewis Cine if he was rated higher than Smith and was available. Thought they proudly followed the BPA mindset…,-1
73,Darnell Savage Jr.,"The  have added the following defensive players this offseason: 

Free Agency:
OLB Za’Darius Smith
OLB Preston Smith 
S Adrian Amos 

Draft -Ongoing
DL Rashan Gary
S Darnell Savage Jr. 

They join: Mike Daniels, Kenny Clark, Jaire Alexander, Blake Martinez, Josh Jackson.",-1
74,Eric Stokes,"More than just speed,  CB Eric Stokes is a high-character human being

Georgia HC Kirby Smart: ""People talk about the speed and plays he's had but for all those things he's great at, he's a lot better person than anything else."" ",-1
75,Trent McDuffie,Gimme Trent McDuffie ,-1
76,Kaiir Elam,WATCH: Josh Allen facetimes Kaiir Elam after  make first-round pick:  ,-1
77,Trevor Lawrence," Lots of factors. Oakland A's accepted it for seats, Trevor Lawrence got some of his Salary/bonus in doge, and numerous other celebrities are dumping big money into it.",-1
78,Rashod Bateman,"1.10 Rashod Bateman

Whyyy did he have to go to the Ravens 😩 He immediately steps in as the #1 WR for Baltimore, but he needs a year or two to develop. A long term pick here at 10, great talent ",-1
79,Kyler Murray,"Cardinals sound unsure about Kyler Murray starting Week One, which may not be a surprise: Of the last 10 quarterbacks chosen first overall, 5 started Week One and 5 did not ",-1
80,Chris Lindstrom,"“Then, I’m told (if Jonah Williams gone) the Bengals would’ve been picking between Oklahoma G Cody Ford and B.C. G Chris Lindstrom. Long story short, Ford had a real chance to go 11th overall”

Confetti,  ",-1
81,Kwity Paye,Kwity Paye ESPN segment is so good man. Rooting for you      ✊🏾✊🏾✊🏾✊🏾✊🏾✊🏾✊🏾✊🏾✊🏾✊🏾✊🏾✊🏾,-1
82,Mac Jones, He had to do something after calling mac jones to the niners,-1
83,AJ Terrell,  AJ Terrell was probably pretty sure he could keep up with Ja’marr Chase too,-1
84,Christian Wilkins,Miami Dolphins Christian Wilkins will be a defensive leader  via   ,-1
85,Najee Harris,"ICYMI: Najee Harris wasn't drafted to be part of a rotation.

The Steelers are going to give him every opportunity to shine as a rookie.

From:  ⬇️
",-1
86,Clyde Edwards-Helaire,2020 Fantasy Football: Top Rookie Running Backs. The Chiefs offense is a goldmine so Clyde Edwards-Helaire tops the list. Check out the...  ,-1
87,Patrick Queen,Still can’t believe the Saints passed on Patrick Queen smh 🤦🏾‍♂️,-1
88,Kenneth Murray," DC Gus Bradley wants to move Derwin James around the defense. Bradley says how much James plays at linebacker will depend on Kenneth Murray's development. If Murray can handle matching up with backs, James can spend more time elsewhere.",-1
89,Jerry Jeudy,"Broncos revelaram os números das jerseys dos rookies

Jerry Jeudy, WR #10
K.J. Hamler, WR #13
Michale Ojemudia, CB #23
Lloyd Cushenberry, C #79
McTelvin Agim, DT #94
Albert Okwuegbunam, TE #85
Justin Strnad, LB #40
Netane Muti, G #73
Tyrie Cleveland, WR #86
Derrek Tuszka, OLB #48",-1
90,Kyler Murray,"The Rookie Scouting Portfolio (RSP)  RSP Scouting Lens: QB Kyler Murray (Oklahoma), Is He a Mold-Breaker?  ",-1
91,N'Keal Harry,"Here are my top 2 picks from the  2019  Draft Rookie class. WR N’Keal Harry on the offensive side of the ball, and DE Chase Winovich on the defense side of the ball. Both of these Rookies, in my opinion, are a sure roster lock and going to shine brightly in 2019! 🔥 ",-1
92,Noah Igbinoghene,Just ordered a Noah Igbinoghene Jersey. W or L?,-1
93,Johnathan Abram,NFL scout says Raiders drafted ‘best overall safety’ in Johnathan Abram  ,-1
94,Jalen Reagor,I am sad to report I have left a rookie draft without Jalen Reagor. Please keep me in your thoughts at this time...,-1
95,Kenny Pickett," fan we need a favor a Picket full body picture of Kenny Pickett.
TIA",-1
96,N'Keal Harry, I know you were a big N’Keal Harry fan. However his knocks were inability to separate and not a burner. This sounds an awful lot like the pre-draft knocks on Kelvin Harmon. Both are physical players. Similar builds. How far apart were you pre-draft on their skill sets?,-1
97,Jerry Jeudy,Drew Lock on adding Jerry Jeudy and K.J. Hamler: “It’s going to scare D coordinators”,-1
98,Nick Bosa,Congratulations to Nick Bosa on being picked number two in the Country for the American Worker” in the terrorist attack on our country 24/7….,-1
99,Dexter Lawrence,"3. Dexter Lawrence is a massive human (6-4, 342).",-1
100,Deandre Baker," Lol...deandre Baker is it. To Greedy’s defense tho, he’s not good or I should say play off coverage like that. Press is his strength. DC Steve Wilks better play to these kids strength",-1
101,Christian Darrisaw,"Check out this youtube breakdown by . It's very good! He goes over his 5 favorite picks. He's a Bears fan and he still picked Christian Darrisaw as his favorite draft pick. Go to the 13 minute mark to see why. It's an excellent breakdown! 

",-1
102,Jeffery Simmons,Joe Moorhead's reaction to the media's coverage of Jeffery Simmons during the NFL Draft. ,-1
103,Andre Dillard,". -Andre Dillard’s 1A, Nordstrom’s 1b would be shocking to have Dillard’s ranked higher than Nordstrom’s 

 - what would Laveranues Coles think about that? 

Seth continues his thought. 

Mike nailed the joke and I am not sure anyone caught it. ",-1
104,Patrick Queen,"       coming from the guy whose team reached for an mid wide receiver while plenty of other talent at positions of need were available(Patrick Queen😭😭), and then draft your backup qb in the second, also, with plenty of other solid options. Just hold your fucking L weirdo",-1
105,Isaiah Wilson,"I don't know who needs to hear this, but the Titans had someone with loose lips this offseason which is why so many people were projecting Isaiah Wilson to the Tennessee  in the first round.",-1
106,Kaleb McGary,"      should continue to troll everyone by congratulating first round picks T.J. Hockenson, Jonah Williams, Chris Lindstrom, Garrett Bradbury, Noah Fant, and Kaleb McGary. 😆",-1
107,Damon Arnette," can you answer a question please?  Is Damon Arnette in your opinion, a reach by the Raiders? If not, please explain.",-1
108,Travis Etienne,"Side note, this clip also shows off how quick and slippery Travis Etienne is hitting the hole.",-1
109,Evan Neal,"Evan Neal Film Review | NY Giants 7th Overall Pick  

Video ⬇️
 ",-1
110,Jamin Davis,           Jamin Davis,-1
111,Micah Parsons,Micah Parsons and Jamin Davis will be handcuffed for many years to come,-1
112,Jaylen Waddle, Jaylen Waddle,-1
113,Jeff Okudah, Devante Adams vs Jeff okudah 😍😍😍,-1
114,Rashawn Slater,Just like Rashawn Slater said...he couldn’t of been in a better situation being on a team with veteran offensive lineman will help him TREMENDOUSLY &amp; he even said he wanted too be drafted were he can learn from veterans at the same time. So it’s a win win situation. ⚡️😁⚡️,-1
115,Jaelan Phillips,I was just DMing with Jaelan Phillips and he did NOT pick a jersey number yet,-1
116,Alijah Vera-Tucker,"“The Giants' fall back plan, if they had stayed at No. 11, would have been to draft USC guard Alijah Vera-Tucker, who went to the New York Jets at No. 14.” ",-1
117,Odafe Oweh,"Why the Ravens selected Odafe Oweh 

 ",-1
118,Andre Dillard, Photo shop of Andre Dillard rocking 77 blocking and edge rusher with Wentz in the background. Please and Thanks.,-1
119,Jermaine Johnson,  So would you be disappointed that we took Linderbaum over Jermaine Johnson?,-1
120,Nick Bosa,"        If Nick Bosa isn't welcomed to the NFL with the Woody Strode treatment, the racists have won.",-1
121,Devin Bush Jr.,Just realized that new Steelers linebacker Devin Bush Jr. has got the  Giorno Giovanna haircut going on and I dig it.  #2019NFLDraft        ,-1
122,Jaelan Phillips,最近のマッデンは一般の人が現実を参考に作ったドラフトボードを使ってドラフトができる。現実とは異なった結果でも、自分でピックしたルーキーにめちゃめちゃ愛着が湧くのでオススメ。昨日やったらJaelan PhillipsとTerrace Marshall Jr.を獲得。好き。 ,-1
123,Jaylen Waddle,"New Podcast 🚨: Post-Draft Rookie Mock! 

Who are the biggest risers and fallers compared to the Pre-Draft mock??

Jaylen Waddle: 📉
Michael Carter: 📈
Travis Etienne:❓
Terrace Marshall:❓

LISTEN

Apple: 

Spotify:  ",-1
124,Najee Harris,"Justin Fields &gt; Jalen Hurts
Najee Harris &gt; Chris Carson
Jaylen Waddle &gt; JuJu Smith-Schuster
Amon Ra St. Brown &gt; Tyler Lockett
Kyle Pitts &gt; Dallas Goedert ",-1
125,Ikem Ekwonu,"Imagine being in the stands at a Panthers game and then in several years you’re literally on the field playing for that team. 

I’m literally excited to have Ikem Ekwonu.

",-1
126,Jordan Love," Packers fans and Jordan Love, too.",-1
127,Chase Young," You can’t like Wade, he’s an OSU player. Just like you hated Chase Young and Okudah 😂",-1
128,Jameson Williams, Jameson Williams,-1
129,K'Lavon Chaisson,      Con el pick 5 de 3 ronda los Madr id Lions eligen a K'Lavon Chaisson DL LSU ,-1
130,Garrett Bradbury,More Garrett Bradbury from practice ,-1
131,Devin White,    Devin White?,-1
132,Devin Bush Jr.,Michigan's Devin Bush Jr. was exactly what Pittsburgh Steelers wanted ,-1
133,Jeffery Simmons,"Right now,  coach Joe Moorhead joins  and  to discuss former Bulldogs DE Jeffery Simmons joining the Titans!

",-1
134,Eric Stokes, Eric Stokes,-1
135,Jameson Williams,   Bro was so good forced Jameson Williams to hit the portal 😂😂,-1
136,Alijah Vera-Tucker,"Former  OL Alijah Vera-Tucker Named 'Best Fit of the 2021 '

",-1
137,Devin White,Devin White ,-1
138,Justin Jefferson,"Minnesota Vikings:
Justin Jefferson is the first offensive rookie on this list that will make an impact in fantasy. 

Decent speed (4.43)
Good route running
Great hands (94.2% catch rate)

He is well set to push for the top scoring rookie receiver and lands in a perfect spot",-1
139,Quay Walker,"1⃣ Quay Walker (LB)
2⃣ Devonte Wyatt (DT)
3⃣ Christian Watson (WR)

Will  be happy with how the  drafted last weekend? What else does he need to put up numbers like he did last season?

 |  ",-1
140,Ed Oliver, WEEKEND Score BIG with Mindy  all weekend. Auto entry for Ed Oliver  jersey. get your entries  ,-1
141,Jaelan Phillips,"Offensive Rookie: Ja'Marr Chase

Defense Rookie: Jaelan Phillips ",-1
142,Clelin Ferrell,"    Cmon its every single major program. Clelin Ferrell was undeclared major after 4 years. Look at the rest of their actual players, its the basic, undeclared/communications/ vague non-descript majors seen throughout cfb. Not a clemson problem. Cfb problem",-1
143,Chris Lindstrom,"Want to rep our first round pick Chris Lindstrom?

RT for your chance to win a  jersey! ",-1
144,Derek Stingley,"   Alternatively, here’s the tape that made the Titans take Kyle Phillips, seen here burning Derek Stingley Jr. ",-1
145,Devin Lloyd," In my entire life of watching football I’ve never looked at a new player coming into any franchise and felt that way. I’m very confident Devin Lloyd will be a star. Trevor Lawerence, Tyson Campbell and Devin Lloyd are 3 players I’m super confident in being franchise changers.",-1
146,Drake London,That feeling when you get Drake London at 1.4 in a rookie draft….,-1
147,Kyle Pitts,"Superflex / TE Premium ranks are live.

Joe Burrow 8th
Kyle Pitts 39th
Ryan Tannehill 46th
TJ Hockenson 66th

",-1
148,Josh Jacobs,"Let’s take a moment to behold first round NFL Draft Pick, Josh Jacobs, in the black and silver. Just need him a black visor in real life.

It’s been a pleasure working on this project and I hope it’s been helpful to those who have purchased. If you haven’t, it’s not too late! ",-1
149,Brian Burns,Panthers. B+. A mi me vais a perdonar pero es que Brian Burns va a ser rockie defensivo del año. Es perfecto. Y Greg Little. Entiendo perfectamente la critica de que no refuerzan lo que necesitan (yo tampoco entiendo porque Will Grier) pero si te llevas a Burns es buen draft.,-1
150,Jordyn Brooks,Why Seahawks fans should be excited about Jordyn Brooks ,-1
151,Treylon Burks,  Kenneth Walker Treylon Burks Drake Londo,-1
152,Tristan Wirfs, Nick Mullens for Tristan Wirfs straight up...what?,-1
153,Travis Etienne,"What was your favorite play from Travis Etienne at Clemson?
       ",-1
154,Austin Jackson,  @5ReasonsSports @3YardsPerCarry you’re welcome. austin jackson vs BYU is next.,-1
155,Jordan Davis,"Hey Glenn, please throw a 5XL jersey on Jordan Davis and get him in there at Power Forward",-1
156,Treylon Burks,"Still crazy that I got to hang with Mark Rypien and watch the draft with him.

- He was a big fan of Jameson Williams and Treylon Burks.

- Wanted a WR round one.

- Thought I was crazy for wanting to trade back 😂

- Thinks Wentz is good and has all the skills to be good.  ",-1
157,Jalen Reagor," SF, .5ppr
1.09 - Justin Herbert
1.11 - Jalen Reagor
2.03 - Justin Jefferson
2.05 - Tyrod Taylor (FA vets are included in our rookie draft)
2.09 - Brandon Aiyuk
2.12 - Laviska Shenault
3.06 - Joshua Kelley
3.08 - Lamical Perine
3.09 - Adam Trautman
3.10 - Darrynton Evans",-1
158,Jordan Davis,"Philadelphia Eagles players Jordan Davis, Nakobe Dean, and Hasson Reddick are ringing the bell ",-1
159,Joe Burrow,Colin Cowherd discussed whether he would rather have Clemson QB Trevor Lawrence or the No. 1 pick in the 2020 NFL Draft — Joe Burrow. ,-1
160,Jameson Williams,"Similar things are true about Jameson Williams, Chris Olave, Trent McDuffee etc, with the exception that if they hit their impact will be greater than Hall’s",-1
161,Joe Tryon-Shoyinka," OLB Joe Tryon says also goes by Joe Tryon-Shoyinka, which is both of his parents names. He said he's cool with just being called Joe Tryon.",-1
162,Tyler Smith,"2022 NFL Draft: Jaguars' Travon Walker, Cowboys' Tyler Smith among most questionable picks by all 32 teams. ",-1
163,Jamin Davis,VAUGHTS VIEWS - Jamin Davis could make Washington have elite defense ,-1
164,Tytus Howard,"To gain the weight needed to move from tight end to tackle, Tytus Howard was eating between 6,000 and 8,000 calories a day, depending on his training regimen for the day. ",-1
165,Trent McDuffie,  Go Chief's I am a Kansas City Kansas native! Win another Superbowl!,-1
166,Cole Strange,Film room: What first-round draft pick Cole Strange brings to the Patriots offense. (via  &amp; ) ,-1
167,T.J. Hockenson,T.J. Hockenson Expected To Start Immediately ,-1
168,Dexter Lawrence,"Dexter Lawrence aiming to become the next great Lawrence in the Giants defense.

   ",-1
169,Kyler Murray,"He would have been the original Kyler Murray. If born in Canada, he would have been hockey's all-time greatest. ",-1
170,Justin Jefferson," Justin Jefferson &gt; Stefon Diggs 

Give me salty Billy fans please",-1
171,Penei Sewell,".: The  are putting a lot of trust in Jonah Williams, and he has not lived up to expectations since being drafted. I would have picked Penei Sewell.

",-1
172,Aidan Hutchinson, How did he do in the orange bowl vs Aidan Hutchinson?  Or the natty vs Mathis?,-1
173,Travon Walker,@1010xlfattony  Devin Lloyd will be better than Travon Walker.,-1
174,Rashod Bateman,"For the 2021 season ONLY — a rookie I prefer over a vet in ...

Justin Fields &gt; Joe Burrow
Najee Harris &gt; Nick Chubb
Rashod Bateman &gt; Tyler Boyd
DeVonta Smith &gt; Brandon Aiyuk
Kyle Pitts &gt; Noah Fant

How  are YOU willing to get?",-1
175,Najee Harris," Bengals: Joe Burrow
Ravens: J.K. Dobbins
Steelers: Najee Harris",-1
176,Trevor Penning," Chris Olave didn't cost all that, he cost all of that + the addition and privilege to have 2 1st Round Picks, Saints also got Trevor Penning at 19.",-1
177,Jaylen Waddle,"First rookie/FA draft is in the books (1QB/12 team/PPR)

1.07 - Jaylen Waddle (traded D. Mims/2.08 for 1.07)
1.08 - Rashod Bateman
3.08 - Rhamondre Stevenson
4.05 - Jacob Harris
4.07 - Tre'Quon Smith (available FA)
4.08 - Jonathan Adams Jr.",-1
178,Kenny Pickett," Wait, so fans of the team that drafted Johnny Manziel in the first round are laughing at the Steelers and Kenny Pickett? Least self aware people on the planet.",-1
179,K'Lavon Chaisson,"New episode alert! 🚨🚨 

Part 1 (of 3) of our analysis of the ’ draft selections. We took a look at their first-rounders: C.J. Henderson and K’Lavon Chaisson. Up next we’ll evaluate the Day 2 picks on Thursday. ",-1
180,Joe Burrow,"LFG : The top selling jersey on 

1-Tua (Aqua)
2-Tom Brady
3-Tua (White)
.
.
.
8-Joe Burrow
.
.
.
14-Justin Herbert 

Star power",-1
181,Quay Walker,"There’s passing the eye test and then there’s passing the eye test. Quay Walker is a big, physical dude. Looks the part without taking a second look. ",-1
182,Garrett Wilson,"CB Ahmad “Sauce” Gardner, WR Garrett Wilson and RB Breece Hall are working on the side, away from the rest of their Jets minicamp teammates, mostly doing drills like this. 👇 ",-1
183,Kaiir Elam, KAIIR ELAM,-1
184,Daxton Hill,Expert Breaks Down Daxton Hill As A Cincinnati Bengal ,-1
185,Rashan Gary,  Love Ed oliver. But they said his lack of production last year was they were using him wrong. Why can’t the same be Rashan Gary? If ne picked him they would fitting him for a gold jacket.,-1
186,Tyler Smith,"Para Ezekiel Elliott la selección de Tyler Smith por parte de los  fue la adecuada para las necesidades del equipo.

¿Todos de acuerdo con Zeke? 🤔

",-1
187,Henry Ruggs III,  @__RUGGS    Henry Ruggs III scorches the defense and catches a huge TD!!! Hopefully this is a prediction of things to come!! Online Connected Franchise with updated 2020 rosters...check out the full stream here... ,-1
188,Ed Oliver, WEEKEND  Score BIG with Mindy  all weekend. Auto entry for Ed Oliver  jersey. get your entries  ,-1
189,Travis Etienne,"From Joe Burrow and Ja'Marr Chase to Trevor Lawrence and Travis Etienne, Mike Florio and Charean Williams break down college teammates who were reunited during the 2021 NFL Draft. ",-1
190,Kyler Murray,"Para o Arizona Cardinals, Kyler Murray significa um recomeço, e deve ser titular na semana 1.  ",-1
191,Kyle Pitts,USA TODAY Sports published its overview of the 17 selections from the 2021 draft most likely to make an instant impact with their new teams. Here is a look at what he had to say about Kyle Pitts as well as the 16 other incoming rookies.  ,-1
192,Damon Arnette,"2020 Raiders Draft Pick Series: Damon Arnette. THE surprise pick of the first round. 


",-1
193,Derek Stingley,"The Houston Texans selected Derek Stingley Jr with the third pick in the .

 joined The Gridiron Show to break down the selection: ",-1
194,Clyde Edwards-Helaire,"Expected Clyde Edwards-Helaire to lead rookie RBs in comp-based fantasy projections, but not by this much. CEH's receiving prowess separates him from the pack
 ",-1
195,Kyle Hamilton, Just know Kye Stokes will be better then Kyle Hamilton watch his spring game highlights,-1
196,Aidan Hutchinson,"Edge rushers Aidan Hutchinson and Kayvon Thibodeaux are the early favorites to win the 2022 NFL Defensive Rookie of the Year Award.

   

 ",-1
197,Dexter Lawrence,"WATCH: Dexter Lawrence, DeAndre Baker explain what they bring to Giants

+1 IHeartNYCBot",-1
198,Clelin Ferrell," First look at top rookies in NFL minicamps NFL rookies, including Clelin Ferrell  ",-1
199,Tytus Howard,"Houston Texans:
23-Tytus Howard, OL.
54-Lonnie Johnson, CB.
55-Max Scharping, T.
86-Kahale Warring, TE.
161-Charles Omenihu, DL.
195-Xavier Crawford, DB.
220-Cullen Gillaspia, FB.",-1
